Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ??mho","Future, NA",Month
5/26/2000 12:00,9369.5,1,8955.8,100,0.254,0.073,9.63,1.31,25.3,43.5,7.89,537,,5
5/27/2000 12:00,9370.5,1,7045,74.7,0.216,0.075,9.74,1.2,25.6,43.4,8.15,541,,5
5/28/2000 12:00,9371.5,0.667,7356,172.3,0.349,0.087,9.96,1.99,23.8,41.8,7.98,526,,5
5/28/2000 20:00,9371.83,0.333,16766,202.9,0.368,0.091,10.24,1.94,22.1,38.4,7.98,515,,5
5/29/2000 04:00,9372.17,0.333,21948,213.4,0.39,0.092,12.17,1.8,20.4,35.9,8.33,519,,5
5/29/2000 12:00,9372.5,0.333,22206,257.1,0.437,0.078,12.39,2.21,19.3,33.8,8.4,514,,5
5/29/2000 20:00,9372.83,0.333,22932,326.8,0.566,0.082,11.74,2.02,17.4,31.7,7.99,478,,5
5/30/2000 04:00,9373.17,0.333,21116,333.2,0.5,0.076,10.37,2.29,17.4,31.8,7.87,471,,5
5/30/2000 12:00,9373.5,0.333,3636.4,293.3,0.489,0.085,9.98,1.8,18.2,32.2,8.47,474,,5
5/30/2000 20:00,9373.83,0.333,15978,230.1,0.435,0.082,10.31,1.62,20,35,8.19,484,,5
5/31/2000 04:00,9374.17,0.333,14768,174.5,0.375,0.086,9.32,1.62,21,36.6,8.08,493,,5
5/31/2000 12:00,9374.5,0.667,13094,165.3,0.364,0.078,8.97,1.5,21.6,37,7.91,499,,5
6/1/2000 12:00,9375.5,1,9041.4,91.1,0.268,0.084,10.9,1.29,24.1,41.7,8.46,536,,6
6/2/2000 12:00,9376.5,1,7512.9,67.8,0.233,0.083,11.16,1.25,26.7,44.2,8.32,561,,6
6/3/2000 12:00,9377.5,1,25850,61.8,0.217,0.086,11.02,1.17,28.4,48.1,8.18,567,,6
6/4/2000 12:00,9378.5,0.833,4563.6,42.4,0.191,0.079,10.42,1,28.4,47.2,8.15,570,,6
6/5/2000 04:00,9379.17,0.5,3982.9,35.5,0.178,0.075,9.87,0.89,29,47.7,8.06,-9,,6
